Vectorizer,Model,Scaler,Val MSE,Val RMSE,Val MAE,Val R²,Test MSE,Test RMSE,Test MAE,Test R²
BOW Unigram,Lasso Regression,None,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
BOW Unigram,Lasso Regression,Min-Max,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
BOW Bigram,Lasso Regression,None,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
BOW Bigram,Lasso Regression,Min-Max,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
BOW Trigram,Lasso Regression,None,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
BOW Trigram,Lasso Regression,Min-Max,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
TF-IDF Unigram,Lasso Regression,None,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
TF-IDF Unigram,Lasso Regression,Min-Max,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
TF-IDF Bigram,Lasso Regression,None,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
TF-IDF Bigram,Lasso Regression,Min-Max,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
TF-IDF Trigram,Lasso Regression,None,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
TF-IDF Trigram,Lasso Regression,Min-Max,28.985705172085545,5.088548268993277,1.9916873095846395,-0.0022128891436001387,407277.50642388087,638.182972525364,25.371979307262727,-0.0013462340863345634
Word2Vec,Lasso Regression,None,28.985705757141112,5.088548264122634,1.9916874408721923,-0.0022128820419311523,407277.50642458204,638.1829725259133,25.371979299903717,-0.0013462340880586066
Word2Vec,Lasso Regression,Min-Max,28.985705757141112,5.088548264122634,1.9916874408721923,-0.0022128820419311523,407277.50642458204,638.1829725259133,25.371979299903717,-0.0013462340880586066
