Vectorizer,Model,Scaler,Val MSE,Val RMSE,Val MAE,Val R²,Test MSE,Test RMSE,Test MAE,Test R²
BOW Unigram,Linear Regression,None,7909.036884761636,88.25521280022829,8.962264571112659,-238.71125437689642,13745.71835107382,106.82990019949553,9.569576729503666,-248.35240810233736
BOW Unigram,Linear Regression,Min-Max,6079.919296498451,75.60603342868902,6.71371339537871,-137.6367205807705,9438.483846472389,88.41395053596207,7.088413125352392,-170.21758323885965
BOW Bigram,Linear Regression,None,3409.9615426671853,52.663166744791496,7.875313556487558,-64.39812896947382,1622.1673403867983,38.118701697285736,7.952688629357125,-28.42671472959528
BOW Bigram,Linear Regression,Min-Max,2480.793550353267,38.43460813280651,5.729126078219845,-19.619294734108568,917.2702528144291,28.852982412852914,5.755608632164723,-15.639621195355698
BOW Trigram,Linear Regression,None,2935.5347769709115,45.564429479132926,6.681930814951416,-38.32648034706018,849.2639824293726,28.175395552609736,6.70218483577875,-14.405962331303112
BOW Trigram,Linear Regression,Min-Max,2265.566385587027,33.16486993386113,4.157680394670008,-10.262175565242327,364.54582499073433,18.615472534573183,4.140995415607715,-5.612995916506006
TF-IDF Unigram,Linear Regression,None,3554.1016089800023,54.33807267371412,5.634734102787937,-56.58952147075777,2001.9060868890422,41.760635156298555,5.632182969084486,-35.315315854082925
TF-IDF Unigram,Linear Regression,Min-Max,4254.985540658813,61.39708479328469,5.696102808480482,-85.91097532617094,3522.396185240269,55.016992915889205,5.7862006607572525,-62.89756785694168
TF-IDF Bigram,Linear Regression,None,2540.5691533640484,39.4884372533041,8.511170288982445,-20.701380933483687,660.4344993202214,25.291178298032502,8.445605479665694,-10.980525760335677
TF-IDF Bigram,Linear Regression,Min-Max,2606.183085452497,40.93518562055393,7.205445978861746,-23.91206152169336,766.5085381548299,27.054625519011203,7.1658838348769205,-12.904748005038096
TF-IDF Trigram,Linear Regression,None,2337.533192874712,35.53020275921558,5.333733062162904,-12.705767487595292,383.7768639368019,19.1362384843954,5.283736052445661,-5.961854066297586
TF-IDF Trigram,Linear Regression,Min-Max,2374.6284264769433,36.49399636060688,4.407091112341781,-14.423160643363639,440.00676826349,20.166363176355397,4.389439489319711,-6.981885300251132
Word2Vec,Linear Regression,None,2044.124706840515,24.451525852287638,1.5045087814331055,-0.014471042156219482,55.27130290269256,7.434406748640595,1.4246235141976349,-0.002641850046596184
Word2Vec,Linear Regression,Min-Max,2044.1130104064941,24.449527171539035,1.498642897605896,-0.01360783576965332,55.23666384737432,7.432078424864007,1.417620729103549,-0.002013484788601505
