class,Vectorizer,Model,Scaler,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_f1_weighted,test_f1_weighted,val_precision,test_precision,val_recall,test_recall,val_f1_score,test_f1_score,val_accuracy,test_accuracy,val_auc_roc,test_auc_roc
0,BOW Bigram,LogisticRegression,MaxAbsScaler,0.5266972049357368,0.5232933161985251,0.9963519257548817,0.9965914272685819,0.9976011967775963,0.9977239685052467,0.9994900841538832,0.9994835692068534,0.9968582832980548,0.9971045902605489,0.9981722825973665,0.9982925380252171,0.9963519257548817,0.9965914272685819,0.6125888387400585,0.48675913364937234
0,BOW Trigram,LogisticRegression,MaxAbsScaler,0.527116589239003,0.5297532050047258,0.9969908129553797,0.9972697218422252,0.9979218768069898,0.9980715122952624,0.99946186025008,0.9994820168518915,0.9975260755391803,0.9977851921559681,0.9984928429115351,0.9986327566286015,0.9969908129553797,0.9972697218422252,0.5731371704754596,0.44918625162444137
0,BOW Unigram,LogisticRegression,MaxAbsScaler,0.5102693078918927,0.5117298778985871,0.9874811148391937,0.9884157926736586,0.9931117488515613,0.9935930632758648,0.9995600945918228,0.9995541719195022,0.9879084257051094,0.9888499158753243,0.9936973130421153,0.9941705401287394,0.9874811148391937,0.9884157926736586,0.662419910370302,0.5603605976948436
0,TF-IDF Bigram,LogisticRegression,MaxAbsScaler,0.5242039153884251,0.5211700863591822,0.9966630598915681,0.996922024623803,0.997754148591216,0.997887126765694,0.9994759787520736,0.9994685168953609,0.9971838651332178,0.9974505945760972,0.9983284437025534,0.9984584363501566,0.9966630598915681,0.996922024623803,0.7213780834496215,0.6507090508373766
0,TF-IDF Trigram,LogisticRegression,MaxAbsScaler,0.5276817468119387,0.521762871658184,0.9968483141800853,0.9969904240766073,0.9978511712848336,0.9979221028233943,0.9994760635783267,0.9994685528756394,0.997369231771669,0.9975190349901617,0.9984213663374728,0.9984927439153573,0.9968483141800853,0.9969904240766073,0.7237309353971886,0.6610460881912675
0,TF-IDF Unigram,LogisticRegression,MaxAbsScaler,0.5205527590746841,0.5242413592101466,0.9959909233293908,0.996281729746162,0.9974126368692082,0.9975697556576703,0.999482782516345,0.9994910147127937,0.9965041919770845,0.9967871027841941,0.9979909457983072,0.9981370042067428,0.9959909233293908,0.996281729746162,0.794111522286645,0.7474056239733372
0,Word2Vec,LogisticRegression,MaxAbsScaler,0.5089697890694344,0.5081222317264982,0.9843864384291702,0.9847317221462227,0.9915445873278205,0.9917258930028744,0.9995947565408266,0.9995814014803468,0.9847762265103478,0.9851351222897121,0.9921298269140651,0.9923054556854518,0.9843864384291702,0.9847317221462227,0.781025877350362,0.7969924240263876
1,BOW Bigram,LogisticRegression,MaxAbsScaler,0.5266972049357368,0.5232933161985251,0.9963519257548817,0.9965914272685819,0.9976011967775963,0.9977239685052467,0.03418619942586565,0.029597178370399126,0.1607843137254902,0.13968253968253966,0.05522212727410711,0.048294094371832984,0.9963519257548817,0.9965914272685819,0.6125888387400585,0.48675913364937234
1,BOW Trigram,LogisticRegression,MaxAbsScaler,0.527116589239003,0.5297532050047258,0.9969908129553797,0.9972697218422252,0.9979218768069898,0.9980715122952624,0.04225456519472559,0.0416987082526146,0.11372549019607843,0.1365079365079365,0.05574033556647085,0.06087365338085012,0.9969908129553797,0.9972697218422252,0.5731371704754596,0.44918625162444137
1,BOW Unigram,LogisticRegression,MaxAbsScaler,0.5102693078918927,0.5117298778985871,0.9874811148391937,0.9884157926736586,0.9931117488515613,0.9935930632758648,0.014158111932729693,0.01564962212504846,0.2823529411764706,0.2634920634920635,0.02684130274167022,0.029289215668434825,0.9874811148391937,0.9884157926736586,0.662419910370302,0.5603605976948436
1,TF-IDF Bigram,LogisticRegression,MaxAbsScaler,0.5242039153884251,0.5211700863591822,0.9966630598915681,0.996922024623803,0.997754148591216,0.997887126765694,0.03168970478925789,0.027690870656823085,0.13725490196078433,0.11428571428571428,0.050079387074296815,0.04388173636820778,0.9966630598915681,0.996922024623803,0.7213780834496215,0.6507090508373766
1,TF-IDF Trigram,LogisticRegression,MaxAbsScaler,0.5276817468119387,0.521762871658184,0.9968483141800853,0.9969904240766073,0.9978511712848336,0.9979221028233943,0.03794542586153834,0.028676370650710225,0.1372549019607843,0.11428571428571428,0.05694212728640477,0.04503299940101078,0.9968483141800853,0.9969904240766073,0.7237309353971886,0.6610460881912675
1,TF-IDF Unigram,LogisticRegression,MaxAbsScaler,0.5205527590746841,0.5242413592101466,0.9959909233293908,0.996281729746162,0.9974126368692082,0.9975697556576703,0.02553548375430398,0.030509122323074567,0.14901960784313725,0.15238095238095237,0.043114572351061184,0.050345714213550344,0.9959909233293908,0.996281729746162,0.794111522286645,0.7474056239733372
1,Word2Vec,LogisticRegression,MaxAbsScaler,0.5089697890694344,0.5081222317264982,0.9843864384291702,0.9847317221462227,0.9915445873278205,0.9917258930028744,0.013415248708794366,0.012450408023875101,0.3411764705882353,0.31111111111111106,0.02580975122480351,0.023939007767544467,0.9843864384291702,0.9847317221462227,0.781025877350362,0.7969924240263876
