class,Vectorizer,Model,Scaler,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_f1_weighted,test_f1_weighted,val_precision,test_precision,val_recall,test_recall,val_f1_score,test_f1_score,val_accuracy,test_accuracy,val_auc_roc,test_auc_roc
0,BOW Bigram,LogisticRegression,MaxAbsScaler,0.5185491952497426,0.5179831031990432,0.9956845402377534,0.9959245326037391,0.9972566324218125,0.997383238178647,0.9994754574119237,0.9994775095392715,0.9962047525771155,0.9964429995912586,0.9978371819443446,0.997957763250528,0.9956845402377534,0.9959245326037391,0.6769578192526514,0.5879497343181149
0,BOW Trigram,LogisticRegression,MaxAbsScaler,0.5168100704523404,0.5229407986843628,0.9963638042136388,0.9965686274509804,0.9975952257457406,0.9977121088484184,0.999454394095974,0.999481652053277,0.9969058164462812,0.997083677911807,0.9981782949709295,0.9982810866212567,0.9963638042136388,0.9965686274509804,0.666815671909023,0.5708479142648019
0,BOW Unigram,LogisticRegression,MaxAbsScaler,0.510798814078319,0.5094268379053131,0.9870274878501542,0.9878666970664234,0.9928824723926282,0.9933128029593611,0.9995767648978482,0.9995405188952197,0.9874378883877377,0.9883137992984857,0.9934671163655578,0.9938927039618227,0.9870274878501542,0.9878666970664234,0.6748155274171618,0.654400261449624
0,TF-IDF Bigram,LogisticRegression,MaxAbsScaler,0.5306942498128889,0.5257595311794531,0.9969266900083861,0.997203222374221,0.9978940797503633,0.9980334647864371,0.9994856299378703,0.9994762790636258,0.9974381489403616,0.9977243562323552,0.9984606734154566,0.9985994496409566,0.9969266900083861,0.997203222374221,0.7235601792093039,0.6937724654980194
0,TF-IDF Trigram,LogisticRegression,MaxAbsScaler,0.5275914209095651,0.5258938201086395,0.9968934387852109,0.9971880224958201,0.9978736726865213,0.9980259934628247,0.9994760946335854,0.9994762720022644,0.997414383636989,0.997709147251452,0.9984440045775052,0.9985918084283237,0.9968934387852109,0.9971880224958201,0.7259131354373215,0.7014299610586718
0,TF-IDF Unigram,LogisticRegression,MaxAbsScaler,0.5178351856496259,0.5281067760670627,0.9964493057633785,0.9968555251557987,0.9976393674293004,0.9978620921665818,0.99946397684057,0.9994932204892562,0.9969818639938447,0.9973593406906779,0.9982212470139163,0.9984250586470983,0.9964493057633785,0.9968555251557987,0.7941191335560641,0.804359138356914
0,Word2Vec,LogisticRegression,MaxAbsScaler,0.5110285484613484,0.5136785888323107,0.9887565253943209,0.9892859857121142,0.9937598621409358,0.9940372820425057,0.9995509761141549,0.9995775826756093,0.9891941151561983,0.989697816560679,0.9943452915474172,0.9946129558744645,0.9887565253943209,0.9892859857121142,0.7357698911850463,0.739640805514704
1,BOW Bigram,LogisticRegression,MaxAbsScaler,0.5185491952497426,0.5179831031990432,0.9956845402377534,0.9959245326037391,0.9972566324218125,0.997383238178647,0.02321782135886798,0.022477585520576066,0.13725490196078433,0.13015873015873017,0.039261208555140766,0.03800844314755823,0.9956845402377534,0.9959245326037391,0.6769578192526514,0.5879497343181149
1,BOW Trigram,LogisticRegression,MaxAbsScaler,0.5168100704523404,0.5229407986843628,0.9963638042136388,0.9965686274509804,0.9975952257457406,0.9977121088484184,0.02204519858470145,0.02926461070535168,0.1019607843137255,0.1365079365079365,0.03544184593375131,0.04760051074746908,0.9963638042136388,0.9965686274509804,0.666815671909023,0.5708479142648019
1,BOW Unigram,LogisticRegression,MaxAbsScaler,0.510798814078319,0.5094268379053131,0.9870274878501542,0.9878666970664234,0.9928824723926282,0.9933128029593611,0.014820703313034955,0.01329257790104475,0.30980392156862746,0.24126984126984125,0.02813051179108006,0.024960971848803352,0.9870274878501542,0.9878666970664234,0.6748155274171618,0.654400261449624
1,TF-IDF Bigram,LogisticRegression,MaxAbsScaler,0.5306942498128889,0.5257595311794531,0.9969266900083861,0.997203222374221,0.9978940797503633,0.9980334647864371,0.04219878886025442,0.034396135610138816,0.15294117647058822,0.12698412698412698,0.06292782621032113,0.05291961271794953,0.9969266900083861,0.997203222374221,0.7235601792093039,0.6937724654980194
1,TF-IDF Trigram,LogisticRegression,MaxAbsScaler,0.5275914209095651,0.5258938201086395,0.9968934387852109,0.9971880224958201,0.9978736726865213,0.9980259934628247,0.0379332163035573,0.0352389767516229,0.1372549019607843,0.12698412698412698,0.056738837241625074,0.053195831788955435,0.9968934387852109,0.9971880224958201,0.7259131354373215,0.7014299610586718
1,TF-IDF Unigram,LogisticRegression,MaxAbsScaler,0.5178351856496259,0.5281067760670627,0.9964493057633785,0.9968555251557987,0.9976393674293004,0.9978620921665818,0.022549120670513175,0.03598712559912632,0.11764705882352941,0.15555555555555553,0.03744912428533573,0.05778849348702709,0.9964493057633785,0.9968555251557987,0.7941191335560641,0.804359138356914
1,Word2Vec,LogisticRegression,MaxAbsScaler,0.5110285484613484,0.5136785888323107,0.9887565253943209,0.9892859857121142,0.9937598621409358,0.9940372820425057,0.014623339039366145,0.017319715205133663,0.26666666666666666,0.30158730158730157,0.02771180537527936,0.03274422179015678,0.9887565253943209,0.9892859857121142,0.7357698911850463,0.739640805514704
