class,Vectorizer,Model,Scaler,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_f1_weighted,test_f1_weighted,val_precision,test_precision,val_recall,test_recall,val_f1_score,test_f1_score,val_accuracy,test_accuracy,val_auc_roc,test_auc_roc
0,BOW Bigram,OneVsRestClassifier,MaxAbsScaler,0.4189426849240743,0.40935166029708187,0.5582123036350027,0.5495964487489912,0.5243669058411863,0.5167849457182564,0.6359718428014186,0.6353173484663822,0.8035189816061589,0.7946304044630405,0.7099475364673837,0.7060750101146508,0.5582123036350027,0.5495964487489912,0.5996541470686497,0.5960066603409113
0,BOW Trigram,OneVsRestClassifier,MaxAbsScaler,0.4062940493315711,0.4026555762686422,0.5694864826240601,0.5630347054075867,0.5207964765833388,0.517180675732122,0.6281912478596346,0.6295215598736678,0.8486294173217577,0.8373430962343097,0.7219245325504801,0.7186837414674155,0.5694864826240601,0.5630347054075867,0.5973019591603965,0.5943534327317543
0,BOW Unigram,OneVsRestClassifier,MaxAbsScaler,0.4189858383460991,0.4244055538566151,0.50116016408103,0.508454398708636,0.5013078741101095,0.5081240936091613,0.6465816366122485,0.6537230988137462,0.6455261316793268,0.6565202231520223,0.6459624735108035,0.6550991071180735,0.50116016408103,0.508454398708636,0.5929465244436781,0.5966599081469781
0,TF-IDF Bigram,OneVsRestClassifier,MaxAbsScaler,0.41653712539256976,0.41187111337295046,0.5383881895086671,0.5316585956416465,0.5158785385709502,0.5111884745275331,0.637605907639737,0.6374649452817799,0.7543132552781304,0.7440376569037657,0.6910171769407623,0.6866248983823666,0.5383881895086671,0.5316585956416465,0.6000622799681358,0.5981180059614718
0,TF-IDF Trigram,OneVsRestClassifier,MaxAbsScaler,0.41185676260774984,0.410621724595351,0.5546058161035468,0.5478813559322033,0.519333746571286,0.516173959621028,0.6338113692953009,0.6336790573198009,0.8036080654193223,0.7885634588563459,0.7086433406898677,0.7026592438478736,0.5546058161035468,0.5478813559322033,0.599410146064086,0.5969493670321173
0,TF-IDF Unigram,OneVsRestClassifier,MaxAbsScaler,0.40984706697544293,0.41754824636272475,0.48630464510198207,0.49320016142050044,0.48996543236268036,0.49704032566803996,0.6450584141877361,0.6516371851264166,0.61798136535335,0.6234309623430963,0.6311481920479866,0.6371954707424577,0.48630464510198207,0.49320016142050044,0.5920458218796482,0.5972079568520681
0,Word2Vec,OneVsRestClassifier,MaxAbsScaler,0.3854992341692219,0.39700912584573783,0.43792852183399994,0.4460855528652139,0.45035297237805216,0.4577045247526132,0.6195749306452475,0.6199319045043483,0.5160860402587021,0.5168061366806137,0.5629054300321505,0.5635631482525554,0.43792852183399994,0.4460855528652139,0.5723621025112574,0.5806283080030621
1,BOW Bigram,OneVsRestClassifier,MaxAbsScaler,0.4189426849240743,0.40935166029708187,0.5582123036350027,0.5495964487489912,0.5243669058411863,0.5167849457182564,0.2800795793362646,0.25352944382282855,0.17446151524582898,0.1635711081202333,0.21480611805591882,0.19869191787124396,0.5582123036350027,0.5495964487489912,0.5996541470686497,0.5960066603409113
1,BOW Trigram,OneVsRestClassifier,MaxAbsScaler,0.4062940493315711,0.4026555762686422,0.5694864826240601,0.5630347054075867,0.5207964765833388,0.517180675732122,0.2829965967908088,0.2593883736249484,0.14373803393411236,0.14024226110363391,0.19036239060566207,0.1818827675589268,0.5694864826240601,0.5630347054075867,0.5973019591603965,0.5943534327317543
1,BOW Unigram,OneVsRestClassifier,MaxAbsScaler,0.4189858383460991,0.4244055538566151,0.50116016408103,0.508454398708636,0.5013078741101095,0.5081240936091613,0.262475836554944,0.266567312019159,0.2638180120533062,0.26846119336025126,0.2630207310891095,0.2673853152735371,0.50116016408103,0.508454398708636,0.5929465244436781,0.5966599081469781
