class,Vectorizer,Model,Scaler,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_f1_weighted,test_f1_weighted,val_precision,test_precision,val_recall,test_recall,val_f1_score,test_f1_score,val_accuracy,test_accuracy,val_auc_roc,test_auc_roc
0,BOW Bigram,OneVsRestClassifier,MaxAbsScaler,0.4294822732924725,0.42000084617141564,0.5372525814867157,0.5296206618240517,0.5226882020943255,0.5155637623141656,0.6477041455625405,0.6453996333951763,0.7314747132775063,0.7259065550906556,0.686967626342057,0.6832677541897335,0.5372525814867157,0.5296206618240517,0.6115092112546504,0.6072960239168427
0,BOW Trigram,OneVsRestClassifier,MaxAbsScaler,0.42866531019837895,0.42195496431494206,0.5495611391492843,0.5432606941081518,0.526778803509213,0.5213795775894249,0.6433419097402014,0.6420222932440153,0.7669959291034196,0.7600767085076708,0.6996853335208796,0.6960628470538749,0.5495611391492843,0.5432606941081518,0.614988375336827,0.6106520732256187
0,BOW Unigram,OneVsRestClassifier,MaxAbsScaler,0.4213588445305185,0.4242782045066165,0.49752787074545285,0.503410008071025,0.5008030479689517,0.5064077089627649,0.6511080169452456,0.6595128153039082,0.6300532479542212,0.6410390516039051,0.6403251941397646,0.6501303688929058,0.49752787074545285,0.503410008071025,0.6001745930307304,0.6008258021596823
0,TF-IDF Bigram,OneVsRestClassifier,MaxAbsScaler,0.42497306751328706,0.4234764499154708,0.49944526584175863,0.49816384180790957,0.5032142485242269,0.5024413922688908,0.656770550008457,0.6578224763599995,0.6276583296642543,0.6274058577405858,0.6418096515087799,0.6422121872631544,0.49944526584175863,0.49816384180790957,0.6118556181821727,0.6090327435188279
0,TF-IDF Trigram,OneVsRestClassifier,MaxAbsScaler,0.42817700425488603,0.42522319143501136,0.5099626908174649,0.5066585956416465,0.5098875556786003,0.5069629478468523,0.657190776731148,0.6549009500750212,0.6521962465678082,0.648884239888424,0.6545773069165892,0.6518286445609233,0.5099626908174649,0.5066585956416465,0.6160241417035142,0.6123858741161549
0,TF-IDF Unigram,OneVsRestClassifier,MaxAbsScaler,0.41496126043071513,0.41912224505947104,0.4806547958059701,0.48559322033898306,0.48917386582070876,0.4940313801491006,0.652980169342798,0.6582045099475935,0.5902186771082243,0.5968967921896792,0.6199163481492811,0.6260076293658066,0.4806547958059701,0.48559322033898306,0.6008294608559546,0.6032500378164257
0,Word2Vec,OneVsRestClassifier,MaxAbsScaler,0.3877326722825242,0.3954105213558449,0.4403496882029219,0.44529862792574654,0.45258854302384255,0.4567591071416947,0.6213916120232825,0.6190263848587777,0.5186581857508645,0.5179218967921897,0.5651015841605413,0.5637782452789164,0.4403496882029219,0.44529862792574654,0.5727957185430348,0.5798344991011272
1,BOW Bigram,OneVsRestClassifier,MaxAbsScaler,0.4294822732924725,0.42000084617141564,0.5372525814867157,0.5296206618240517,0.5226882020943255,0.5155637623141656,0.27145693582132563,0.2614767940924781,0.22569900687547748,0.2246747420367878,0.24622395117172888,0.2416366983896103,0.5372525814867157,0.5296206618240517,0.6115092112546504,0.6072960239168427
1,BOW Trigram,OneVsRestClassifier,MaxAbsScaler,0.42866531019837895,0.42195496431494206,0.5495611391492843,0.5432606941081518,0.526778803509213,0.5213795775894249,0.27677672561860744,0.26968871019554436,0.2060777711758104,0.20619111709286678,0.23606316573091046,0.23366418090663313,0.5495611391492843,0.5432606941081518,0.614988375336827,0.6106520732256187
1,BOW Unigram,OneVsRestClassifier,MaxAbsScaler,0.4213588445305185,0.4242782045066165,0.49752787074545285,0.503410008071025,0.5008030479689517,0.5064077089627649,0.26324460444012576,0.2670957219365841,0.2813083213083213,0.28667563930013457,0.27185641521560294,0.2764547907112028,0.49752787074545285,0.503410008071025,0.6001745930307304,0.6008258021596823
