class,Vectorizer,Model,Scaler,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_f1_weighted,test_f1_weighted,val_precision,test_precision,val_recall,test_recall,val_f1_score,test_f1_score,val_accuracy,test_accuracy,val_auc_roc,test_auc_roc
0,BOW Bigram,OneVsRestClassifier,None,0.42778234924883773,0.42610787024243246,0.5103408674833321,0.5021388216303471,0.5098567130302684,0.5037924105964895,0.6548945142817162,0.6491770866794007,0.6545508691086347,0.6340655509065551,0.6546511038942767,0.6414807755391951,0.5103408674833321,0.5021388216303471,0.6163736803413268,0.6148098176936924
0,BOW Trigram,OneVsRestClassifier,None,0.4270287250842567,0.42633689639232114,0.5106181964022988,0.5026836158192091,0.5095231408854171,0.504127483636001,0.6543144140298148,0.6495207362987053,0.6564692203456486,0.6348675034867504,0.6552459885704888,0.6420198054202778,0.5106181964022988,0.5026836158192091,0.6158886504006618,0.6146290331589017
0,BOW Unigram,OneVsRestClassifier,None,0.42783557880097817,0.4236735273329496,0.5100382860824767,0.4997578692493947,0.5100126156281815,0.5019613585116811,0.6567115466266026,0.6508698727351571,0.6536788964550285,0.6316248256624826,0.6550916607423246,0.6410560916591431,0.5100382860824767,0.4997578692493947,0.6170185863938882,0.6158594735338342
0,TF-IDF Bigram,OneVsRestClassifier,None,0.4207608223905646,0.4187190723913686,0.4960147920204828,0.48926553672316386,0.4988498848247111,0.4937447141790628,0.6492024756852255,0.6457829145114411,0.6258727492159569,0.6089958158995815,0.6371648897261726,0.6267320713909302,0.4960147920204828,0.48926553672316386,0.612520682411373,0.6082687032900373
0,TF-IDF Trigram,OneVsRestClassifier,None,0.4183617747684896,0.418854723610801,0.4960399777221021,0.491908797417272,0.49789329773769836,0.4951199137876733,0.6499297810855075,0.6477369310389162,0.6284870143101206,0.6142608089260809,0.6389140499231198,0.6304028448917344,0.4960399777221021,0.491908797417272,0.6103817190127196,0.6084273361320067
0,TF-IDF Unigram,OneVsRestClassifier,None,0.4233207342931156,0.42169351776958863,0.493745216863201,0.48644067796610174,0.4995091506311597,0.4935467621045922,0.6572318513666152,0.6512790126242812,0.6129707000887703,0.5937238493723849,0.6342227825567068,0.6211016468893678,0.493745216863201,0.48644067796610174,0.6137709312988266,0.6103986159202806
0,Word2Vec,OneVsRestClassifier,None,0.3840006722389699,0.3899024700018771,0.4347515649956144,0.4405972558514931,0.44864650961822045,0.4542320553203665,0.6342545249368132,0.6383486289196318,0.5065376860721761,0.5111924686192469,0.5629043383573529,0.5676500695266874,0.4347515649956144,0.4405972558514931,0.5740389025754375,0.5749242185465707
1,BOW Bigram,OneVsRestClassifier,None,0.42778234924883773,0.42610787024243246,0.5103408674833321,0.5021388216303471,0.5098567130302684,0.5037924105964895,0.2687583176545701,0.26330579519001346,0.26136132567505116,0.2629878869448183,0.26466660270977876,0.26284980577427436,0.5103408674833321,0.5021388216303471,0.6163736803413268,0.6148098176936924
1,BOW Trigram,OneVsRestClassifier,None,0.4270287250842567,0.42633689639232114,0.5106181964022988,0.5026836158192091,0.5095231408854171,0.504127483636001,0.2676009408596009,0.26411158985946387,0.2547459657263579,0.2620008972633468,0.2605764748180532,0.26264100437965127,0.5106181964022988,0.5026836158192091,0.6158886504006618,0.6146290331589017
1,BOW Unigram,OneVsRestClassifier,None,0.42783557880097817,0.4236735273329496,0.5100382860824767,0.4997578692493947,0.5100126156281815,0.5019613585116811,0.26595750506841986,0.2531239108933402,0.26124871497420515,0.25715567519066845,0.2631183645148657,0.25461837276429616,0.5100382860824767,0.4997578692493947,0.6170185863938882,0.6158594735338342
1,TF-IDF Bigram,OneVsRestClassifier,None,0.4207608223905646,0.4187190723913686,0.4960147920204828,0.48926553672316386,0.4988498848247111,0.4937447141790628,0.25711001972076863,0.2568607277891208,0.2601192126682323,0.26612830865859133,0.25814895648844466,0.2608925056902556,0.4960147920204828,0.48926553672316386,0.612520682411373,0.6082687032900373
1,TF-IDF Trigram,OneVsRestClassifier,None,0.4183617747684896,0.418854723610801,0.4960399777221021,0.491908797417272,0.49789329773769836,0.4951199137876733,0.2573748812713499,0.2622791301217345,0.24599194559978874,0.25365634813817856,0.25072906394538824,0.2570984594253457,0.4960399777221021,0.491908797417272,0.6103817190127196,0.6084273361320067
1,TF-IDF Unigram,OneVsRestClassifier,None,0.4233207342931156,0.42169351776958863,0.493745216863201,0.48644067796610174,0.4995091506311597,0.4935467621045922,0.26059494241176107,0.25864650266778494,0.2758168048364127,0.27842081650964556,0.26780145724611015,0.2679770518607666,0.493745216863201,0.48644067796610174,0.6137709312988266,0.6103986159202806
1,Word2Vec,OneVsRestClassifier,None,0.3840006722389699,0.3899024700018771,0.4347515649956144,0.4405972558514931,0.44864650961822045,0.4542320553203665,0.2419066319610357,0.2541423589575236,0.26516122947495496,0.2725886047554958,0.25263110705583636,0.26277195609180815,0.4347515649956144,0.4405972558514931,0.5740389025754375,0.5749242185465707
2,BOW Bigram,OneVsRestClassifier,None,0.42778234924883773,0.42610787024243246,0.5103408674833321,0.5021388216303471,0.5098567130302684,0.5037924105964895,0.35896875565639424,0.3624972214590502,0.3705844572896596,0.3872624550590652,0.3640293411424578,0.37399302941382767,0.5103408674833321,0.5021388216303471,0.6163736803413268,0.6148098176936924
2,BOW Trigram,OneVsRestClassifier,None,0.4270287250842567,0.42633689639232114,0.5106181964022988,0.5026836158192091,0.5095231408854171,0.504127483636001,0.3584108159112512,0.3618638239556494,0.3739242132305716,0.38880328710837186,0.3652637118642282,0.3743498793770343,0.5106181964022988,0.5026836158192091,0.6158886504006618,0.6146290331589017
2,BOW Unigram,OneVsRestClassifier,None,0.42783557880097817,0.4236735273329496,0.5100382860824767,0.4997578692493947,0.5100126156281815,0.5019613585116811,0.36064310388707516,0.3640046702822945,0.37174052665382146,0.38900873138161274,0.3652967111457443,0.37534611757540953,0.5100382860824767,0.4997578692493947,0.6170185863938882,0.6158594735338342
2,TF-IDF Bigram,OneVsRestClassifier,None,0.4207608223905646,0.4187190723913686,0.4960147920204828,0.48926553672316386,0.4988498848247111,0.4937447141790628,0.35267468170102106,0.3487006158477399,0.383558124598587,0.3919876733436055,0.36696862095707644,0.3685326400929199,0.4960147920204828,0.48926553672316386,0.612520682411373,0.6082687032900373
2,TF-IDF Trigram,OneVsRestClassifier,None,0.4183617747684896,0.418854723610801,0.4960399777221021,0.491908797417272,0.49789329773769836,0.4951199137876733,0.34390733925807365,0.34094089358945967,0.39216441875401414,0.4042116076014381,0.36544221043696085,0.3690628665153229,0.4960399777221021,0.491908797417272,0.6103817190127196,0.6084273361320067
2,TF-IDF Unigram,OneVsRestClassifier,None,0.4233207342931156,0.42169351776958863,0.493745216863201,0.48644067796610174,0.4995091506311597,0.4935467621045922,0.34713989479879337,0.3485213249682925,0.3920359666024406,0.40852593733949666,0.3679379630765298,0.3760018545586315,0.493745216863201,0.48644067796610174,0.6137709312988266,0.6103986159202806
2,Word2Vec,OneVsRestClassifier,None,0.3840006722389699,0.3899024700018771,0.4347515649956144,0.4405972558514931,0.44864650961822045,0.4542320553203665,0.2827224337726457,0.2828040509933681,0.4174694926140013,0.42496147919876737,0.33646657130372043,0.33928538438713585,0.4347515649956144,0.4405972558514931,0.5740389025754375,0.5749242185465707
