class,Vectorizer,Model,Scaler,val_f1_macro,test_f1_macro,val_f1_micro,test_f1_micro,val_f1_weighted,test_f1_weighted,val_precision,test_precision,val_recall,test_recall,val_f1_score,test_f1_score,val_accuracy,test_accuracy,val_auc_roc,test_auc_roc
0,BOW Bigram,OneVsRestClassifier,MaxAbsScaler,0.43268658907062196,0.42094280274696083,0.5364205947298156,0.5277037933817595,0.5241967964449601,0.515338037916208,0.6511353467018045,0.6477146602587308,0.723848158549809,0.7189679218967923,0.6855148504859389,0.6814653185740467,0.5364205947298156,0.5277037933817595,0.6141957796516344,0.6017340699450864
0,BOW Trigram,OneVsRestClassifier,MaxAbsScaler,0.43655383121265656,0.42499481844499365,0.5494854961840799,0.5401331719128329,0.5312642674054916,0.522213390265674,0.6502158435300032,0.6475444795585454,0.7540087288458004,0.7465829846582984,0.6982308696787762,0.693531256223055,0.5494854961840799,0.5401331719128329,0.6184502669759914,0.6052168537159773
0,BOW Unigram,OneVsRestClassifier,MaxAbsScaler,0.4232868942157127,0.42108196444331425,0.5026481334246887,0.5036521388216303,0.5042965086221243,0.504688527045936,0.6522805406506517,0.6545162445310061,0.6416471386170921,0.6488145048814504,0.6468193125776576,0.6516225160640877,0.5026481334246887,0.5036521388216303,0.6036585812141458,0.5969292968392821
0,TF-IDF Bigram,OneVsRestClassifier,MaxAbsScaler,0.4249063940174896,0.4186279169078011,0.5023204903427144,0.49751815980629543,0.5048494348477331,0.5005151499314462,0.6554080023157027,0.6554169081360336,0.6374634766340226,0.6347629009762901,0.6462186489968148,0.6448866866935891,0.5023204903427144,0.49751815980629543,0.6114495679846849,0.6014460562369012
0,TF-IDF Trigram,OneVsRestClassifier,MaxAbsScaler,0.42922521369040517,0.41952534515016743,0.5134682924418663,0.5034907183212268,0.512110106345534,0.5034257860063369,0.6560569678642838,0.6526618071349427,0.661522261691538,0.6504881450488145,0.6586659343408693,0.6515388013088709,0.5134682924418663,0.5034907183212268,0.6168554571449163,0.6042943169214412
0,TF-IDF Unigram,OneVsRestClassifier,MaxAbsScaler,0.41522764233534754,0.41676334457320713,0.4809575870876724,0.48387812752219533,0.4897769046097554,0.4924284485761287,0.6552049121944966,0.6585128870301468,0.590697039516337,0.5963040446304044,0.6211609319498043,0.6258265760964274,0.4809575870876724,0.48387812752219533,0.6014988358242123,0.5975959170122555
0,Word2Vec,OneVsRestClassifier,MaxAbsScaler,0.3772182028658121,0.376323692975951,0.41134412655128183,0.4108151735270379,0.4292104301401878,0.4293826786926769,0.6294490327332205,0.6352553641033386,0.44338475743469397,0.44271269177126915,0.5199290384771983,0.521486109088238,0.41134412655128183,0.4108151735270379,0.5706891987356266,0.5672963610303143
1,BOW Bigram,OneVsRestClassifier,MaxAbsScaler,0.43268658907062196,0.42094280274696083,0.5364205947298156,0.5277037933817595,0.5241967964449601,0.515338037916208,0.27334365123453624,0.25684784849742553,0.23467258957455037,0.22252131000448633,0.2524335681299704,0.23841003157231364,0.5364205947298156,0.5277037933817595,0.6141957796516344,0.6017340699450864
1,BOW Trigram,OneVsRestClassifier,MaxAbsScaler,0.43655383121265656,0.42499481844499365,0.5494854961840799,0.5401331719128329,0.5312642674054916,0.522213390265674,0.28347901948827764,0.2640028179015917,0.22357204161125732,0.21022880215343204,0.2499005637730673,0.23402290761346692,0.5494854961840799,0.5401331719128329,0.6184502669759914,0.6052168537159773
1,BOW Unigram,OneVsRestClassifier,MaxAbsScaler,0.4232868942157127,0.42108196444331425,0.5026481334246887,0.5036521388216303,0.5042965086221243,0.504688527045936,0.2629676128690644,0.25807789388699937,0.2725607145214989,0.26666666666666666,0.26745635605924034,0.2621816042520972,0.5026481334246887,0.5036521388216303,0.6036585812141458,0.5969292968392821
