topico,palavras_mais_representativas,frequencias,n_documentos
0,"bolsonaro, povo, vamos, presidente, brasil, estao, todos, agora, grupo, fazer","18535, 15055, 13848, 12818, 12488, 11141, 11020, 8854, 7592, 7522",131549
11,"bolsonaro, lula, terrabrasilnoticias, brasil, video, tse, pt, twitter, presidente, sobre","18210, 14008, 7162, 7152, 6653, 5810, 5499, 5477, 5258, 5131",84739
2,"telegram, welcome, professional, tool, managing, groups, video, foto, gazetabrasil, roughsex","14339, 14329, 14169, 14169, 14169, 14169, 10054, 7958, 1205, 1133",47300
29,"13, lula, bolsonaro, brasil, intervencao, presidente, militar, todos, grupo, 55","21960, 21853, 20691, 17528, 16661, 13634, 13080, 11699, 11022, 10848",28738
16,"tse, brazil, superior, following, decision, community, electoral, court, is, baie","17461, 17430, 17421, 17421, 17421, 17421, 17421, 17421, 518, 386",20882
19,"plataforma, parabens, investimento, obrigado, todos, empresa, agora, investir, lucro, feliz","6608, 5542, 4597, 3811, 3632, 3482, 3253, 3023, 2784, 2529",20083
10,"rua, tmealexeconomia, fonte, canal, eua, sobre, brasil, russia, inscreva, tmefimtaproximo","5300, 2763, 2193, 1627, 1460, 1373, 1232, 1225, 1148, 1141",16688
7,"is, congratulations, are, have, your, company, my, with, platform, it","5757, 3883, 3751, 3550, 3431, 3426, 3340, 2926, 2907, 2882",15581
1,"bolsonaro, 22, presidente, vamos, governador, canal, hoje, jair, vivo, brasil","6675, 4473, 4193, 1752, 1737, 1663, 1459, 1366, 1328, 1260",12847
18,"ganhar, comecar, dinheiro, bot, pode, ativar, comigo, anos, feedback, conectese","10461, 9843, 8728, 7636, 7298, 7165, 6655, 6466, 6434, 6376",11492
12,"grupo, canal, verdade, especulando, fatos, oficial, inscreva, fixadas, topo, bem","8086, 7817, 4874, 3342, 3264, 2708, 2522, 2122, 2122, 2044",11048
26,"deus, senhor, jesus, brasil, todos, nome, cristo, porque, vamos, oracao","4233, 1806, 1517, 1036, 1026, 830, 762, 716, 668, 667",9167
3,"poder, escrever, grupo, abaixo, dentro, pressione, botao, minutos, 3, intervencao","3528, 3049, 2987, 2958, 2922, 2907, 2907, 2905, 2492, 1471",5007
8,"grupo, liberdade, direita, bem, vindoa, familia, envie, deus, patria, convite","6455, 6006, 3108, 3101, 3080, 3053, 3038, 3035, 3023, 3008",4132
6,"vpn, sex, with, b, anal, bu, men, z, banned, from","4076, 2725, 2044, 2038, 1323, 1022, 1022, 1021, 1020, 1019",3547
14,"agora, passaporte, doses, sanitario, faca, tp, brasil, hoje, vacina, telegram","549, 495, 465, 443, 416, 371, 353, 347, 328, 296",2810
5,"el, en, es, los, con, un, reais, plataforma, su, una","976, 950, 601, 588, 582, 444, 431, 379, 367, 351",2411
15,"fraude, turno, bolsonaro, brasil, votos, comprovante, bolsonaro22, contagem, voto, enviar","676, 647, 610, 575, 575, 575, 536, 429, 405, 385",1608
21,"todos, grupo, pessoas, entao, lembrando, evitem, dar, duvidas, objetivo, oportunidade","1402, 1046, 798, 672, 542, 517, 516, 515, 511, 508",1599
23,"grupo, acao, advertencia, mensagem, bolsonaro, email, 13, presidente, total, criptomoedas","500, 438, 401, 343, 337, 333, 327, 305, 288, 288",1595
17,"13, sex, hd, 1080p, votar, estafa, pesquisa, site, lula, verdadesdobolsonaro","6235, 418, 418, 418, 349, 336, 311, 301, 296, 294",1527
20,"grupos, natural, pessoal, duvida, gosta, meses, ultimos, canais, medicina, vale","519, 494, 463, 394, 382, 362, 359, 355, 355, 351",1453
4,"vpn, 14, enquete, b, with, sosffaa, todos, compartilhem, participem, sex","1601, 1200, 1001, 806, 800, 791, 577, 518, 502, 457",1439
28,"2022, screenshot, out, hoje, bl, vida, medo, sn, alcancar, deus","391, 347, 269, 246, 206, 201, 186, 184, 147, 135",1127
24,"vota, luiz, inacio, confirma, 13, tse, todos, sobre, exonerado, si","1028, 459, 455, 450, 448, 210, 169, 168, 158, 156",1122
9,"tmealexeconomia, youtubecomalexeconomia, sp500, fechado, nasdaq, dow, jones, futuros, estados, unidos","552, 445, 400, 353, 341, 340, 340, 331, 330, 316",1118
22,"bolsonaro, lula, votos, liberdade, disse, todos, presidente, bolso, grupo, processo","954, 717, 497, 273, 250, 221, 211, 206, 186, 166",933
25,"brasil, todos, empresas, atencao, acabou, internet, alexandre, acima, massas, policiais","316, 307, 208, 184, 158, 158, 133, 128, 122, 121",757
13,"manha, todos, direito, shacharit, brasil, lula, deus, brasileiros, servico, silencio","193, 180, 160, 154, 144, 118, 110, 108, 108, 102",720
27,"agora, sempre, pense, amanha, precisa, fazer, trabalhamos, pessoas, contato, hoje","308, 263, 260, 258, 255, 247, 214, 206, 187, 185",686
