topic_id,word,weight
4,tse,0.11820595
4,superior,0.10152402
4,electoral,0.09922802
4,community,0.09902756
4,brazil,0.07611473
4,bora,0.030436272
4,court,0.012432
4,vivo,0.008080499
4,jovem,0.007924261
4,todos,0.007612911
7,intervencao,0.10309469
7,militar,0.055596456
7,mao,0.03595888
7,pau,0.03520421
7,quarteis,0.029111814
7,federal,0.026482489
7,povo,0.019135075
7,bolsonaro,0.015283092
7,frente,0.013429384
7,ruas,0.012961005
6,55,0.09565507
6,telegram,0.0665259
6,welcome,0.04968717
6,groups,0.048371833
6,professional,0.0483404
6,tool,0.04824324
6,managing,0.048211627
6,video,0.016869701
6,jose,0.014877943
6,joao,0.014863654
9,decision,0.026865382
9,povo,0.016206956
9,lula,0.010516154
9,brasil,0.010092127
9,estao,0.008352326
9,nada,0.0078497995
9,agora,0.0072702044
9,fazer,0.0069920407
9,porque,0.006557106
9,pode,0.006072655
16,following,0.14169104
16,is,0.023750447
16,with,0.014916147
16,congratulations,0.0124073345
16,company,0.012222409
16,your,0.012213875
16,are,0.011518139
16,my,0.011248825
16,on,0.010850774
16,platform,0.010255294
1,canal,0.02253777
1,sobre,0.009015652
1,gettr,0.009012808
1,eua,0.007919409
1,inscreva,0.007234164
1,vacina,0.006529233
1,covid,0.0064621256
1,digital,0.005930184
1,tambem,0.005917817
1,vacinas,0.005639931
2,vamos,0.028107384
2,todos,0.025697267
2,deus,0.022725519
2,grupos,0.018323625
2,estao,0.01588457
2,pessoal,0.014981563
2,brasil,0.014203437
2,grupo,0.013164643
2,atencao,0.010561649
2,pessoas,0.010303482
0,lula,0.020558657
0,pt,0.014358841
0,governo,0.013962452
0,milhoes,0.013703305
0,tse,0.013321303
0,brasil,0.013157877
0,mil,0.00839054
0,vpn,0.0060629286
0,insercoes,0.0060197012
0,bilhoes,0.0057843225
8,forcas,0.020572966
8,armadas,0.018777976
8,tribunal,0.010239445
8,ordem,0.008939778
8,manifestacao,0.008905382
8,direito,0.008878678
8,federal,0.007621514
8,policia,0.0076018577
8,manifestacoes,0.007190315
8,lei,0.0070413994
5,grupo,0.10506207
5,canal,0.060720798
5,verdade,0.03969614
5,liberdade,0.028295135
5,bem,0.028142372
5,fatos,0.018432725
5,vindoa,0.017245669
5,compartilhe,0.016851353
5,especulando,0.016037812
5,familia,0.015210323
