topic_id,word,weight
22,sobre,0.009216917
22,fonte,0.009124341
22,eua,0.007359297
22,tmealexeconomia,0.006079314
22,apos,0.005592396
22,saude,0.0048781172
22,vacina,0.00479451
22,ano,0.0047564176
22,mundo,0.0046874355
22,covid,0.00455938
6,intervencao,0.06819725
6,presidente,0.03923456
6,militar,0.03439122
6,bolsonaro,0.025709387
6,forcas,0.021900445
6,mao,0.019865083
6,armadas,0.019168103
6,fraude,0.012360348
6,eleicoes,0.011221522
6,relatorio,0.010497368
20,rua,0.08555344
20,batalhao,0.033048093
20,militar,0.02802908
20,sp,0.024499686
20,centro,0.024098413
20,comando,0.023255795
20,infantaria,0.020366393
20,rs,0.019731345
20,frente,0.01691362
20,praca,0.014702658
13,community,0.24302441
13,grupo,0.02400631
13,redes,0.022615293
13,sociais,0.018284034
13,bolsonaro,0.016841233
13,eleitores,0.01037947
13,22,0.009725651
13,entrem,0.009697393
13,grupos,0.009443223
13,whatsapp,0.009379183
19,brazil,0.16267017
19,telegram,0.061554167
19,welcome,0.041886818
19,groups,0.040799446
19,professional,0.040772628
19,tool,0.040683698
19,managing,0.040666964
19,comigo,0.0357687
19,bot,0.027851995
19,ganhar,0.026157102
5,milhoes,0.029328378
5,pt,0.011983818
5,brasil,0.010418915
5,bilhoes,0.009778844
5,governo,0.009615576
5,pica,0.008008202
5,dilma,0.007927576
5,mil,0.007870489
5,avenida,0.007865238
5,caso,0.0072597414
14,tse,0.23266295
14,superior,0.17524385
14,foto,0.047559872
14,tribunal,0.018416319
14,cu,0.014302808
14,proibido,0.012181623
14,stf,0.011343173
14,dizer,0.008921779
14,eleitoral,0.008092127
14,supremo,0.007393956
11,povo,0.008543798
11,porque,0.008034066
11,brasil,0.0072088665
11,nada,0.0071504246
11,lula,0.006303523
11,estao,0.006259987
11,ter,0.006259683
11,pais,0.006069437
11,ainda,0.006006588
11,agora,0.0058818785
23,electoral,0.09527937
23,deus,0.034078404
23,senhor,0.0118841585
23,jesus,0.010984942
23,todos,0.0070935907
23,nome,0.0063036545
23,paz,0.0058372673
23,terra,0.005796345
23,vida,0.0057772934
23,fe,0.0057104095
15,lula,0.08145885
15,bolsonaro,0.029583802
15,terrabrasilnoticias,0.017639386
15,twitter,0.017227322
15,pt,0.015071003
15,moraes,0.01384641
15,veja,0.012969232
15,votos,0.01194219
15,brasil,0.011115826
15,alexandre,0.010205297
