topic_id,word,weight
12,intervencao,0.027837597
12,militar,0.02547929
12,federal,0.014861822
12,forcas,0.014656381
12,armadas,0.0135609405
12,stf,0.009974852
12,brasil,0.009295482
12,tse,0.0077187405
12,militares,0.007355655
12,tribunal,0.0071866945
1,tse,0.2142325
1,superior,0.17751953
1,decision,0.16901119
1,d,0.008207196
1,ter,0.0050276048
1,escandalo,0.004868134
1,preso,0.0044335215
1,tela,0.0043325834
1,grupo,0.0042849565
1,neste,0.0042474903
14,13,0.48246792
14,l,0.020578528
14,tmefimtaproximo,0.013751688
14,pica,0.00973695
14,inscreva,0.008767601
14,visitem,0.008760677
14,lula,0.0072958213
14,canal,0.00726001
14,rola,0.006416967
14,chegar,0.006363698
0,is,0.02907996
0,with,0.018439231
0,congratulations,0.015605395
0,your,0.015324706
0,company,0.015311832
0,vpn,0.014804714
0,are,0.014326435
0,my,0.014080579
0,on,0.0135135455
0,platform,0.012991713
16,sobre,0.008581214
16,pessoas,0.0077219
16,porque,0.0070964466
16,mundo,0.006516861
16,anos,0.0049258578
16,tambem,0.004624698
16,vida,0.004447778
16,todos,0.0041481033
16,todas,0.00396372
16,sistema,0.0036176753
2,brasil,0.039191388
2,milhoes,0.012225115
2,governo,0.009378719
2,pais,0.008873692
2,pt,0.00810656
2,10,0.0071261474
2,br,0.006893794
2,anos,0.0065550017
2,15,0.006479891
2,mil,0.006431042
4,lula,0.117233776
4,bolsonaro,0.033503503
4,twitter,0.024360802
4,pt,0.023304705
4,votos,0.017877834
4,veja,0.016470598
4,terrabrasilnoticias,0.012716179
4,presidente,0.01232723
4,jornaldacidadeonline,0.011769381
4,video,0.010867035
13,brazil,0.18947205
13,ganhar,0.054152932
13,comigo,0.048103787
13,dinheiro,0.04777181
13,comecar,0.045937523
13,pode,0.041151796
13,bot,0.03528267
13,anos,0.033507172
13,ativar,0.03074391
13,feedback,0.028505143
5,canal,0.09382398
5,grupo,0.060431782
5,verdade,0.044674028
5,compartilhe,0.028314743
5,oficial,0.025630053
5,fatos,0.022142623
5,terrabrasilnoticias,0.021691961
5,noticias,0.01877266
5,especulando,0.0182399
5,inscreva,0.017376646
9,estao,0.02635884
9,todos,0.022457995
9,grupos,0.021844825
9,bolsonaro,0.019826101
9,pessoal,0.015683018
9,grupo,0.015579172
9,atencao,0.015147224
9,pessoas,0.013135285
9,fake,0.010249793
9,compartilhem,0.009951854
