Tópico,Palavras,Pesos
0,"ruas, povo, armadas, forcas, quarteis, pode, poder, federal, presidente, todos","[0.01540481485426426, 0.01347713079303503, 0.011582805775105953, 0.011284955777227879, 0.011132457293570042, 0.011127691715955734, 0.01006496325135231, 0.009752817451953888, 0.00891168974339962, 0.00882114376872778]"
1,"proibido, lula, bolsonaro, dizer, apoiadores, pt, tse, stf, sobre, porco","[0.02882852964103222, 0.027155514806509018, 0.027075152844190598, 0.02280859835445881, 0.015415187925100327, 0.014779589138925076, 0.011755011975765228, 0.009672875516116619, 0.00943178590387106, 0.00943178590387106]"
2,"reais, pl, 88888888, ptb, tmealexeconomia, transfiro, panorama, votos, 160, 55555555","[0.02544431947171688, 0.022112907841801643, 0.00962874200195074, 0.008132020942866802, 0.0078009492717683315, 0.007283649407327175, 0.00638699671253562, 0.006345612462610006, 0.004979941062629223, 0.004814405459910631]"
3,"ganhar, comecar, dinheiro, comigo, pode, bot, ativar, anos, feedback, conectese","[0.06236105412244797, 0.05637528747320175, 0.052463844418525696, 0.04735121130943298, 0.04520117864012718, 0.04279375076293945, 0.0379183255136013, 0.03507685288786888, 0.03476393595337868, 0.03272998705506325]"
4,"55, brasil, grupos, 1, silva, souza, bolsonaroate2026, bolsonaro2022, grupo, gilson","[0.18220603466033936, 0.007251132745295763, 0.0060144029557704926, 0.00516732782125473, 0.005031795706599951, 0.005014854483306408, 0.004896264057606459, 0.004828497767448425, 0.004828497767448425, 0.004726849030703306]"
5,"13, lula, presidente, vota, bolsonaro, rola, chegar, compartilhe, passando, luiz","[0.7298851013183594, 0.03948638588190079, 0.030359288677573204, 0.01591673493385315, 0.010005711577832699, 0.008948576636612415, 0.008933686651289463, 0.00836789608001709, 0.008144557476043701, 0.008144557476043701]"
6,"km, br, cidade, local, turno, sul, nova, pessoas, pontos, norte","[0.0082227298989892, 0.00807548500597477, 0.006368369795382023, 0.00486831646412611, 0.004771687556058168, 0.004624442663043737, 0.004606037400662899, 0.004596834536641836, 0.004265534691512585, 0.004233324900269508]"
7,"milhoes, bilhoes, caso, escandalo, pt, preso, us, lula, dilma, 2016","[0.02420990727841854, 0.0157306008040905, 0.013368284329771996, 0.013282239437103271, 0.013211839832365513, 0.010888634249567986, 0.009785698726773262, 0.008729696273803711, 0.008455918170511723, 0.008291651494801044]"
8,"intervencao, militar, pau, mao, federal, presidente, gomes, ciro, pecam, 2026","[0.31642836332321167, 0.1376071572303772, 0.10898454487323761, 0.10584034025669098, 0.043561432510614395, 0.016400210559368134, 0.013447904959321022, 0.012576973997056484, 0.011469858698546886, 0.011381289921700954]"
9,"vpn, b, with, yn, bilan, men, erkaklari, sex, mn, sites","[0.05719416216015816, 0.03432958573102951, 0.02835640124976635, 0.01778908260166645, 0.016736429184675217, 0.013562154024839401, 0.013472393155097961, 0.01335815154016018, 0.011799574829638004, 0.01161189191043377]"
10,"plataforma, parabens, investimento, todos, obrigado, agora, investir, empresa, lucro, sempre","[0.022144868969917297, 0.017257774248719215, 0.015982480719685555, 0.015324956737458706, 0.012951748445630074, 0.012700972147285938, 0.012541942298412323, 0.011306406930088997, 0.010318590328097343, 0.008963782340288162]"
11,"ainda, lula, sobre, pode, tambem, mundo, onde, tempo, hoje, quer","[0.006800046190619469, 0.006533817853778601, 0.006193474866449833, 0.005651266314089298, 0.00540161645039916, 0.00535285659134388, 0.0051958500407636166, 0.005019339732825756, 0.004588303621858358, 0.00447030458599329]"
12,"grupo, canal, abaixo, fatos, oficial, especulando, verdade, bem, equipe, botao","[0.0781402513384819, 0.030335376039147377, 0.021178631111979485, 0.015549840405583382, 0.014278474263846874, 0.012308035045862198, 0.011004067957401276, 0.010254287160933018, 0.010080425068736076, 0.00946104060858488]"
13,"tse, brazil, superior, court, electoral, decision, community, following, grupo, verdade","[0.07908936589956284, 0.07899954169988632, 0.07857288420200348, 0.07827646285295486, 0.07815520465373993, 0.07814173400402069, 0.07814173400402069, 0.07809682190418243, 0.015822401270270348, 0.014367264695465565]"
14,"batalhao, militar, centro, rua, sp, infantaria, rs, comando, praca, frente","[0.036184344440698624, 0.026917390525341034, 0.025444813072681427, 0.023479096591472626, 0.02265719324350357, 0.022287337109446526, 0.021664060652256012, 0.02023942768573761, 0.015787454321980476, 0.014643639326095581]"
15,"46, leve, ba, 15, 1, combate, 47, 42, 48, rio","[0.01889110915362835, 0.01874106004834175, 0.01745065301656723, 0.015665091574192047, 0.01387952733784914, 0.013414381071925163, 0.012334040366113186, 0.012319035828113556, 0.012183993123471737, 0.012168988585472107]"
16,"22, bolsonaro, presidente, governador, voto, senador, federal, paulo, pl, rio","[0.05545303225517273, 0.03578384965658188, 0.01461783517152071, 0.01412006001919508, 0.009559446014463902, 0.008525333367288113, 0.00835707038640976, 0.007669998798519373, 0.007088091224431992, 0.007081080228090286]"
