Vectorizer,Model,Scaler,Num Features,Val MSE,Val RMSE,Val MAE,Val R²,Test MSE,Test RMSE,Test MAE,Test R²
BOW Unigram,Ridge Regression,None,129,62.38464653361547,7.697855166919927,3.011554579429505,-1.7186684130483265,407279.80935175315,638.1847767525245,26.087629189542877,-0.0013518961425884157
BOW Unigram,Ridge Regression,Min-Max,129,41.8622887653993,6.237919923573308,2.6437410855149976,-0.640430560755763,407287.7712737182,638.1910146769151,25.780858856707617,-0.0013714715928650812
BOW Bigram,Ridge Regression,None,269,70.9209352296202,8.126937027241004,2.8831090801789485,-2.3658376290043273,407271.44400336687,638.1782226719455,25.856145974667463,-0.0013313288144857437
BOW Bigram,Ridge Regression,Min-Max,269,40.4699229959518,6.127206454023607,2.4275791216713665,-0.7103083580463755,407264.01819701877,638.1724046752977,25.566727497893783,-0.0013130714761736772
BOW Trigram,Ridge Regression,None,402,81.64507785486475,8.637963221743096,2.8822003085878967,-2.8516728590945397,407267.3475419806,638.1750131079555,25.81587553756443,-0.0013212571161535624
BOW Trigram,Ridge Regression,Min-Max,402,39.27521295824919,6.039866077179573,2.388346939834372,-0.6779697024922111,407249.8555198106,638.1613081790654,25.54198326868633,-0.0012782506396106896
TF-IDF Unigram,Ridge Regression,None,129,31.109821213133955,5.376156381229267,2.170356546097532,-0.2086001461754167,407307.74395125074,638.2066623193894,25.47841942525934,-0.0014205770924726302
TF-IDF Unigram,Ridge Regression,Min-Max,129,37.33973554883784,5.965574301954886,2.6482410168624417,-0.6121521439603894,407306.29092882073,638.2055235946767,25.911835220760985,-0.001417004642446784
TF-IDF Bigram,Ridge Regression,None,269,31.252916368339505,5.395859577839903,2.1218062665036834,-0.23040927980544734,407301.91216982005,638.202093479498,25.382939034286913,-0.0014062388776642897
TF-IDF Bigram,Ridge Regression,Min-Max,269,38.58098605079465,6.061076460811615,2.439880234691255,-0.7512453149135367,407291.9279003263,638.1942711971595,25.661944879453518,-0.0013816912154439808
TF-IDF Trigram,Ridge Regression,None,402,31.49193564156885,5.422446350520902,2.1281273667698466,-0.2477801855788231,407303.362841683,638.2032300200015,25.379732355161128,-0.0014098055485065597
TF-IDF Trigram,Ridge Regression,Min-Max,402,39.28149112883481,6.123685792046478,2.39659439040079,-0.8226741255445722,407302.4595203962,638.20252225432,25.592673741434968,-0.0014075846122791446
Word2Vec,Ridge Regression,None,100,28.893643075067992,5.079962397679492,1.990919142763842,0.00142158133499366,407292.7997434586,638.1949543358093,25.342946825531747,-0.0013838347584177678
Word2Vec,Ridge Regression,Min-Max,100,28.827559894656808,5.072175985675092,1.9839422533566686,0.005396280047566671,407291.8345470281,638.1941981376885,25.339327400356193,-0.0013814616938718327
